"player_name","position","minutes_played","national_team","team","foot","age","weight","height","key_passes_accurate_p90","ball_interceptions_p90","expected_assists_p90","defensive_challenges_won_percent_p90","x_g_expected_goals_p90","key_passes_accurate_p90_percentil","ball_interceptions_p90_percentil","expected_assists_p90_percentil","defensive_challenges_won_percent_p90_percentil","x_g_expected_goals_p90_percentil","score"
"Mason Mount","CM",2555,"England","Chelsea","Right",23,70,180,0.85,1.73,0.46,0.44,0.32,0.92,0.08,1,0.56,0.96,0.381
"Bruno Fernandes","CM",3330,"Portugal","Man United","Right",27,69,179,1.08,2.76,0.24,0.37,0.27,1,0.44,0.8,0.2,0.88,0.376
"Hakim Ziyech","CM",1423,"Morocco","Chelsea","Left",29,65,181,1.01,2.53,0.38,0.4,0.25,0.96,0.28,0.96,0.32,0.8,0.375
"Naby Laye Keita","CM",1262,"Guinea","Liverpool","Right",27,64,172,0.5,3.99,0.21,0.5,0.15,0.68,0.84,0.76,0.88,0.4,0.335
"Bernardo Silva","CM",3063,"Portugal","Man City","Left",27,64,173,0.53,2.53,0.29,0.48,0.21,0.72,0.28,0.88,0.76,0.6,0.323
"James Maddison","CM",2620,"England","Leicester","Right",25,73,175,0.69,1.48,0.24,0.41,0.24,0.84,0.04,0.8,0.36,0.72,0.321
"Martin Odegaard","CM",2985,"Norway","Arsenal","Left",23,68,178,0.63,1.96,0.3,0.37,0.16,0.76,0.16,0.92,0.2,0.48,0.303
"Leandro Trossard","CM",3023,"Belgium","Brighton","Right",27,61,171,0.63,2.05,0.12,0.37,0.24,0.76,0.2,0.6,0.2,0.72,0.286
"John McGinn","CM",3371,"Scotland","Aston Villa","Left",27,68,178,0.48,3.63,0.11,0.57,0.05,0.64,0.56,0.52,1,0.04,0.284
"Jeffrey Schlupp","CM",2007,"Ghana","Crystal Palace","Left",29,72,178,0.36,4.48,0.04,0.5,0.22,0.48,0.92,0.08,0.88,0.68,0.282
"Daniel Podence","CM",1632,"Portugal","Wolverhampton","Right",26,58,165,0.83,1.32,0.11,0.35,0.12,0.88,0,0.52,0.16,0.28,0.282
"Alexis Mac Allister","CM",2313,"Argentina","Brighton","Right",23,72,176,0.31,3.7,0.16,0.49,0.27,0.32,0.6,0.72,0.8,0.88,0.274
"Joelinton","CM",2794,"-","Newcastle Utd.","Right",25,81,186,0.29,4.51,0.1,0.5,0.14,0.28,0.96,0.44,0.88,0.36,0.265
"Manuel Lanzini","CM",1930,"Argentina","West Ham","Right",29,66,167,0.42,3.12,0.14,0.34,0.17,0.56,0.52,0.68,0.04,0.52,0.255
"K. Dewsbury-Hall","CM",2257,"-","Leicester","Left",23,0,178,0.36,4.19,0.04,0.46,0.04,0.48,0.88,0.08,0.68,0,0.25
"Emile Smith Rowe","CM",2067,"England","Arsenal","Right",21,79,182,0.35,2.35,0.13,0.43,0.26,0.44,0.24,0.64,0.48,0.84,0.241
"Mathias Jensen","CM",1730,"Denmark","Brentford","Right",26,68,180,0.42,3.85,0.1,0.34,0.11,0.56,0.72,0.44,0.04,0.2,0.24
"Sean Longstaff","CM",1603,"-","Newcastle Utd.","Right",24,65,181,0.17,4.6,0.06,0.46,0.05,0.12,1,0.28,0.68,0.04,0.235
"Conor Gallagher","CM",3054,"England","Crystal Palace","Right",22,0,182,0.32,3.74,0.09,0.43,0.21,0.36,0.68,0.4,0.48,0.6,0.226
"Christian Pulisic","CM",1411,"United States","Chelsea","Both",23,69,177,0.32,2.68,0.06,0.24,0.36,0.36,0.36,0.28,0,1,0.208
"O. Frank","CM",1123,"Nigeria","Brentford","Right",24,0,183,0,3.93,0,0.49,0.1,0,0.76,0,0.8,0.16,0.193
"Jacob Matthew Ramsey","CM",2669,"England U21","Aston Villa","Right",20,0,180,0.2,3.71,0.07,0.44,0.12,0.2,0.64,0.36,0.56,0.28,0.183
"Pierre Lees-Melou","CM",2423,"-","Norwich","Right",29,67,185,0.26,3.97,0.04,0.41,0.05,0.24,0.8,0.08,0.36,0.04,0.183
"M. Almirón","CM",1845,"Paraguay","Newcastle Utd.","Left",28,63,174,0.1,2.73,0.05,0.45,0.11,0.08,0.4,0.2,0.64,0.2,0.139
"Joseph Willock","CM",2189,"-","Newcastle Utd.","Right",22,71,186,0.08,2.92,0,0.42,0.15,0.04,0.48,0,0.44,0.4,0.136
"Hee-Chan Hwang","CM",1941,"Korea Republic","Wolverhampton","Right",26,77,177,0.19,1.85,0.05,0.34,0.19,0.16,0.12,0.2,0.04,0.56,0.105
