"player_name","position","minutes_played","national_team","team","foot","age","weight","height","accurate_crosses_percent_p90","defensive_challenges_won_percent_p90","challenges_in_attack_won_percent_p90","expected_assists_p90","accurate_crosses_percent_p90_percentil","defensive_challenges_won_percent_p90_percentil","challenges_in_attack_won_percent_p90_percentil","expected_assists_p90_percentil","score"
"Hassane Kamara","LD",1718,"Cote d'Ivoire","Watford","Left",28,67,168,0.35,0.67,0.62,0,0.91,0.95,0.91,0,0.49
"Tyrick Mitchell","LD",3338,"England","Crystal Palace","Left",22,0,175,0.32,0.71,0.47,0.05,0.86,1,0.18,0.32,0.456
"Adam Masina","LD",1169,"Morocco","Watford","Left",28,70,191,0.41,0.56,0.62,0.08,1,0.18,0.91,0.45,0.444
"Takehiro Tomiyasu","RD",1814,"Japan U24","Arsenal","Right",23,70,188,0.47,0.58,0.46,0,1,0.36,0.21,0,0.417
"Olexandr Zinchenko","LD",1122,"Ukraine","Man City","Left",25,64,175,0.28,0.64,0.58,0.4,0.77,0.68,0.64,1,0.404
"Benjamin Johnson","RD",1523,"England U21","West Ham","Right",22,67,184,0.3,0.66,0.36,0.12,0.71,0.93,0,0.71,0.402
"Sam Byram","RD",1131,"-","Norwich","Right",28,72,183,0.33,0.61,0.39,0,0.86,0.71,0.07,0,0.4
"Sergio Reguilon","LD",2033,"Spain","Tottenham","Left",25,68,178,0.36,0.57,0.41,0.18,0.95,0.27,0.09,0.77,0.397
"M. Aarons","RD",3073,"England U21","Norwich","Right",22,69,171,0.35,0.58,0.47,0.03,0.93,0.36,0.29,0.43,0.393
"Trent Alexander-Arnold","RD",3062,"England","Liverpool","Right",23,69,180,0.32,0.51,0.57,0.73,0.79,0,0.86,1,0.376
"Charlie Taylor","LD",2934,"-","Burnley","Left",28,70,183,0.27,0.62,0.58,0.09,0.73,0.59,0.64,0.55,0.37
"Diogo Dalot","RD",1955,"Portugal","Man United","Right",23,76,183,0.21,0.68,0.55,0.09,0.21,1,0.79,0.57,0.354
"Kieran Tierney","LD",2050,"Scotland","Arsenal","Left",24,70,180,0.25,0.66,0.47,0.04,0.55,0.91,0.18,0.23,0.351
"Alex Telles","LD",1790,"Brazil","Man United","Left",29,67,181,0.28,0.57,0.57,0.1,0.77,0.27,0.59,0.59,0.347
"Dimitrios Giannoulis","LD",1255,"Greece","Norwich","Left",26,62,178,0.25,0.64,0.59,0,0.55,0.68,0.77,0,0.333
"Lucas Digne","LD",2648,"France","Aston Villa","Left",28,74,178,0.24,0.65,0.39,0.24,0.45,0.86,0.05,0.82,0.326
"Aaron Wan-Bissaka","RD",1930,"-","Man United","Right",24,72,183,0.26,0.62,0.54,0,0.43,0.79,0.64,0,0.322
"Andrew Robertson","LD",2718,"Scotland","Liverpool","Left",28,64,178,0.25,0.64,0.5,0.3,0.55,0.68,0.41,0.91,0.321
"Valentino Livramento","RD",2372,"England U21","Southampton","Right",19,0,173,0.29,0.55,0.54,0.15,0.64,0.14,0.64,0.79,0.304
"Matty Cash","RD",3683,"Poland","Aston Villa","Right",24,0,185,0.27,0.59,0.51,0.02,0.5,0.57,0.43,0.36,0.28
"Javi Manquillo","RD",1379,"-","Newcastle Utd.","Right",28,76,178,0.08,0.63,0.52,0,0,0.86,0.5,0,0.279
"Rico Henry","LD",2974,"-","Brentford","Left",24,66,170,0.26,0.55,0.47,0,0.68,0.09,0.18,0,0.275
"Joao Cancelo","LD",3464,"Portugal","Man City","Right",28,74,182,0.18,0.62,0.62,0.29,0.09,0.59,0.91,0.86,0.273
"Emerson","RD",2449,"Brazil","Tottenham","Right",23,79,181,0.28,0.55,0.53,0.22,0.57,0.14,0.57,0.93,0.273
