"player_name","position","minutes_played","national_team","team","foot","age","weight","height","key_passes_accurate_p90","key_passes_accurate_p90_percentil","key_passes_accurate_p90_norm","ball_interceptions_p90","ball_interceptions_p90_percentil","ball_interceptions_p90_norm","expected_assists_p90","expected_assists_p90_percentil","expected_assists_p90_norm","defensive_challenges_won_percent","defensive_challenges_won_percent_p90","defensive_challenges_won_percent_p90_percentil","defensive_challenges_won_percent_p90_norm","x_g_expected_goals_p90","x_g_expected_goals_p90_percentil","x_g_expected_goals_p90_norm","score"
"Hakim Ziyech","CM",1423,"Morocco","Chelsea","Left",29,65,181,1.01,0.96,0.935185185185185,2.53,0.28,0.36890243902439,0.38,0.96,0.826086956521739,40,0.4,0.32,0.4,0.25,0.8,0.65625,0.82
"Mason Mount","CM",2555,"England","Chelsea","Right",23,70,180,0.85,0.92,0.787037037037037,1.73,0.08,0.125,0.46,1,1,44.3708609271523,0.44,0.56,0.44,0.32,0.96,0.875,0.81
"Bruno Fernandes","CM",3330,"Portugal","Man United","Right",27,69,179,1.08,1,1,2.76,0.44,0.439024390243902,0.24,0.8,0.521739130434783,36.697247706422,0.37,0.2,0.37,0.27,0.88,0.71875,0.81
"Naby Laye Keita","CM",1262,"Guinea","Liverpool","Right",27,64,172,0.5,0.68,0.462962962962963,3.99,0.84,0.814024390243903,0.21,0.76,0.456521739130435,49.618320610687,0.5,0.88,0.5,0.15,0.4,0.34375,0.72
"Bernardo Silva","CM",3063,"Portugal","Man City","Left",27,64,173,0.53,0.72,0.490740740740741,2.53,0.28,0.36890243902439,0.29,0.88,0.630434782608696,48.2352941176471,0.48,0.76,0.48,0.21,0.6,0.53125,0.71
"Alexis Mac Allister","CM",2313,"Argentina","Brighton","Right",23,72,176,0.31,0.32,0.287037037037037,3.7,0.6,0.725609756097561,0.16,0.72,0.347826086956522,48.792270531401,0.49,0.8,0.49,0.27,0.88,0.71875,0.69
"Jeffrey Schlupp","CM",2007,"Ghana","Crystal Palace","Left",29,72,178,0.36,0.48,0.333333333333333,4.48,0.92,0.963414634146342,0.04,0.08,0.0869565217391304,50,0.5,0.88,0.5,0.22,0.68,0.5625,0.69
"James Maddison","CM",2620,"England","Leicester","Right",25,73,175,0.69,0.84,0.638888888888889,1.48,0.04,0.048780487804878,0.24,0.8,0.521739130434783,41.0852713178295,0.41,0.36,0.41,0.24,0.72,0.625,0.68
"Martin Odegaard","CM",2985,"Norway","Arsenal","Left",23,68,178,0.63,0.76,0.583333333333333,1.96,0.16,0.195121951219512,0.3,0.92,0.652173913043478,36.7231638418079,0.37,0.2,0.37,0.16,0.48,0.375,0.68
"Joelinton","CM",2794,"-","Newcastle Utd.","Right",25,81,186,0.29,0.28,0.268518518518518,4.51,0.96,0.972560975609756,0.1,0.44,0.217391304347826,49.6296296296296,0.5,0.88,0.5,0.14,0.36,0.3125,0.66
