"player_name","position","minutes_played","national_team","team","foot","age","weight","height","accurate_crosses_percent","accurate_crosses_percent_p90","accurate_crosses_percent_p90_percentil","accurate_crosses_percent_p90_norm","defensive_challenges_won_percent","defensive_challenges_won_percent_p90","defensive_challenges_won_percent_p90_percentil","defensive_challenges_won_percent_p90_norm","challenges_in_attack_won_percent","challenges_in_attack_won_percent_p90","challenges_in_attack_won_percent_p90_percentil","challenges_in_attack_won_percent_p90_norm","expected_assists_p90","expected_assists_p90_percentil","expected_assists_p90_norm","score"
"Olexandr Zinchenko","LD",1122,"Ukraine","Man City","Left",25,64,175,28,0.28,0.77,0.28,64.1304347826087,0.64,0.68,0.64,0.58,0.58,0.64,0.58,0.4,1,1,1.02
"Trent Alexander-Arnold","RD",3062,"England","Liverpool","Right",23,69,180,32,0.32,0.79,0.32,51.3812154696133,0.51,0,0.51,0.57,0.57,0.86,0.57,0.73,1,1,0.99
"Adam Masina","LD",1169,"Morocco","Watford","Left",28,70,191,41,0.41,1,0.41,56.25,0.56,0.18,0.56,0.62,0.62,0.91,0.62,0.08,0.45,0.2,0.98
"Andrew Robertson","LD",2718,"Scotland","Liverpool","Left",28,64,178,25,0.25,0.55,0.25,63.905325443787,0.64,0.68,0.64,0.5,0.5,0.41,0.5,0.3,0.91,0.75,0.97
"Hassane Kamara","LD",1718,"Cote d'Ivoire","Watford","Left",28,67,168,35,0.35,0.91,0.35,67.4528301886792,0.67,0.95,0.67,0.62,0.62,0.91,0.62,0,0,0,0.96
"Joao Cancelo","LD",3464,"Portugal","Man City","Right",28,74,182,18,0.18,0.09,0.18,62.2093023255814,0.62,0.59,0.62,0.62,0.62,0.91,0.62,0.29,0.86,0.725,0.95
"Takehiro Tomiyasu","RD",1814,"Japan U24","Arsenal","Right",23,70,188,47,0.47,1,0.47,58.2857142857143,0.58,0.36,0.58,0.46,0.46,0.21,0.46,0,0,0,0.95
"Tyrick Mitchell","LD",3338,"England","Crystal Palace","Left",22,0,175,32,0.32,0.86,0.32,70.8588957055215,0.71,1,0.71,0.47,0.47,0.18,0.47,0.05,0.32,0.125,0.95
"Luke Shaw","LD",1720,"England","Man United","Left",26,75,178,13,0.13,0,0.13,63.8461538461538,0.64,0.68,0.64,0.58,0.58,0.64,0.58,0.31,0.95,0.775,0.94
"Sergio Reguilon","LD",2033,"Spain","Tottenham","Left",25,68,178,36,0.36,0.95,0.36,57.2289156626506,0.57,0.27,0.57,0.41,0.41,0.09,0.41,0.18,0.77,0.45,0.94
"Lucas Digne","LD",2648,"France","Aston Villa","Left",28,74,178,24,0.24,0.45,0.24,65.4867256637168,0.65,0.86,0.65,0.39,0.39,0.05,0.39,0.24,0.82,0.6,0.93
"Charlie Taylor","LD",2934,"-","Burnley","Left",28,70,183,27,0.27,0.73,0.27,62.2222222222222,0.62,0.59,0.62,0.58,0.58,0.64,0.58,0.09,0.55,0.225,0.93
"Alex Telles","LD",1790,"Brazil","Man United","Left",29,67,181,28,0.28,0.77,0.28,57.1428571428571,0.57,0.27,0.57,0.57,0.57,0.59,0.57,0.1,0.59,0.25,0.92
"Diogo Dalot","RD",1955,"Portugal","Man United","Right",23,76,183,21,0.21,0.21,0.21,68.4491978609626,0.68,1,0.68,0.55,0.55,0.79,0.55,0.09,0.57,0.123287671232877,0.91
"Valentino Livramento","RD",2372,"England U21","Southampton","Right",19,0,173,29,0.29,0.64,0.29,55.045871559633,0.55,0.14,0.55,0.54,0.54,0.64,0.54,0.15,0.79,0.205479452054795,0.91
"Emerson","RD",2449,"Brazil","Tottenham","Right",23,79,181,28,0.28,0.57,0.28,54.5787545787546,0.55,0.14,0.55,0.53,0.53,0.57,0.53,0.22,0.93,0.301369863013699,0.91
"Matt Targett","LD",3123,"-","Newcastle Utd.","Left",26,70,183,21,0.21,0.23,0.21,59.5890410958904,0.6,0.45,0.6,0.61,0.61,0.86,0.61,0.12,0.73,0.3,0.91
"Dimitrios Giannoulis","LD",1255,"Greece","Norwich","Left",26,62,178,25,0.25,0.55,0.25,63.8655462184874,0.64,0.68,0.64,0.59,0.59,0.77,0.59,0,0,0,0.91
"M. Aarons","RD",3073,"England U21","Norwich","Right",22,69,171,35,0.35,0.93,0.35,57.5757575757576,0.58,0.36,0.58,0.47,0.47,0.29,0.47,0.03,0.43,0.0410958904109589,0.91
"Kieran Tierney","LD",2050,"Scotland","Arsenal","Left",24,70,180,25,0.25,0.55,0.25,66.3716814159292,0.66,0.91,0.66,0.47,0.47,0.18,0.47,0.04,0.23,0.1,0.9
"Benjamin Johnson","RD",1523,"England U21","West Ham","Right",22,67,184,30,0.3,0.71,0.3,66.4,0.66,0.93,0.66,0.36,0.36,0,0.36,0.12,0.71,0.164383561643836,0.9
