"player_name","position","minutes_played","national_team","team","foot","age","weight","height","challenges_won_percent","challenges_won_percent_p90","challenges_won_percent_p90_percentil","challenges_won_percent_p90_norm","accurate_crosses_percent","accurate_crosses_percent_p90","accurate_crosses_percent_p90_percentil","accurate_crosses_percent_p90_norm","x_g_expected_goals_p90","x_g_expected_goals_p90_percentil","x_g_expected_goals_p90_norm","expected_assists_p90","expected_assists_p90_percentil","expected_assists_p90_norm","defensive_challenges_won_percent","defensive_challenges_won_percent_p90","defensive_challenges_won_percent_p90_percentil","defensive_challenges_won_percent_p90_norm","ball_interceptions_p90","ball_interceptions_p90_percentil","ball_interceptions_p90_norm","score"
"Bukayo Saka","RM",3179,"England","Arsenal","Left",20,65,178,0.41,0.41,0.33,0.41,36,0.36,0.95,0.36,0.31,0.71,0.454545454545455,0.48,1,1,42.4418604651163,0.42,0.48,0.42,1.98,0.24,0.249049429657795,0.98
"Reece James","RM",2006,"England","Chelsea","Right",22,82,182,0.62,0.62,1,0.62,23,0.23,0.48,0.23,0.1,0.24,0.136363636363636,0.45,0.95,0.9375,64.3835616438356,0.64,1,0.64,2.92,0.62,0.427756653992395,0.97
"Raheem Sterling","LM",2274,"England","Man City","Right",27,71,170,0.41,0.41,0.61,0.41,38,0.38,0.96,0.38,0.55,0.96,0.8,0.24,0.68,0.6,38.1443298969072,0.38,0.39,0.38,1.31,0.04,0.0319488817891374,0.97
"Mohamed Salah","RM",2957,"Egypt","Liverpool","Left",29,71,175,0.31,0.31,0.05,0.31,21,0.21,0.33,0.21,0.67,1,1,0.33,0.9,0.6875,31.6326530612245,0.32,0.1,0.32,0.94,0.05,0.0513307984790874,0.92
"Jack Grealish","LM",2039,"England","Man City","Right",26,68,180,0.44,0.44,0.75,0.44,21,0.21,0.39,0.21,0.26,0.75,0.353846153846154,0.4,1,1,38.8235294117647,0.39,0.46,0.39,1.54,0.11,0.105431309904153,0.92
"Diogo Jota","LM",2526,"Portugal","Liverpool","Right",25,70,178,0.35,0.35,0.04,0.35,21,0.21,0.39,0.21,0.68,1,1,0.21,0.5,0.525,32.7160493827161,0.33,0.25,0.33,1.6,0.18,0.124600638977636,0.92
"Ryan Fraser","LM",1577,"Scotland","Newcastle Utd.","Right",28,70,163,0.36,0.36,0.14,0.36,42,0.42,1,0.42,0.21,0.61,0.276923076923077,0.34,0.89,0.85,35.8490566037736,0.36,0.32,0.36,1.6,0.18,0.124600638977636,0.92
"Ademola Lookman","RM",1553,"Nigeria","Leicester","Right",24,78,174,0.45,0.45,0.62,0.45,33,0.33,0.76,0.33,0.31,0.71,0.454545454545455,0.23,0.67,0.479166666666667,41.7391304347826,0.42,0.48,0.42,2.72,0.52,0.389733840304183,0.91
"Jadon Sancho","LM",2044,"England","Dortmund","Right",22,76,180,0.37,0.37,0.21,0.37,33,0.33,0.89,0.33,0.14,0.25,0.169230769230769,0.35,0.96,0.875,28.735632183908,0.29,0.07,0.29,2.82,0.61,0.514376996805112,0.9
"Dwight McNeil","LM",3315,"England U21","Burnley","Left",22,0,183,0.47,0.47,0.89,0.47,31,0.31,0.79,0.31,0.08,0.07,0.0769230769230769,0.22,0.57,0.55,48.2142857142857,0.48,0.82,0.48,4.34,1,1,0.9
"Raphinha","RM",3141,"Brazil","Leeds United","Left",25,58,176,0.4,0.4,0.29,0.4,21,0.21,0.33,0.21,0.32,0.86,0.46969696969697,0.29,0.81,0.604166666666667,41.2371134020619,0.41,0.43,0.41,3.41,0.71,0.520912547528517,0.88
"Lucas Moura","RM",1905,"Brazil","Tottenham","Right",29,72,172,0.48,0.48,0.81,0.48,34,0.34,0.9,0.34,0.2,0.57,0.287878787878788,0.19,0.57,0.395833333333333,33.3333333333333,0.33,0.14,0.33,2.83,0.57,0.4106463878327,0.88
"Pablo Fornals Malla","LM",2986,"Spain","West Ham","Right",26,67,178,0.39,0.39,0.36,0.39,31,0.31,0.79,0.31,0.18,0.5,0.230769230769231,0.24,0.68,0.6,39.4957983193277,0.39,0.46,0.39,3.38,0.82,0.693290734824281,0.88
"Phil Foden","LM",2279,"England","Man City","Left",21,70,171,0.35,0.35,0.04,0.35,24,0.24,0.54,0.24,0.43,0.93,0.615384615384615,0.24,0.68,0.6,29.5774647887324,0.3,0.11,0.3,1.38,0.07,0.0543130990415335,0.87
"Philippe Coutinho","LM",1438,"Brazil","Aston Villa","Right",29,68,172,0.4,0.4,0.46,0.4,29,0.29,0.68,0.29,0.27,0.79,0.369230769230769,0.25,0.79,0.625,30,0.3,0.11,0.3,1.75,0.39,0.172523961661342,0.87
"Michael Olise","RM",1243,"France U21","Crystal Palace","Left",20,0,184,0.44,0.44,0.52,0.44,27,0.27,0.57,0.27,0.15,0.33,0.212121212121212,0.29,0.81,0.604166666666667,47.3684210526316,0.47,0.71,0.47,2.97,0.67,0.437262357414449,0.87
"Heung-Min Son","LM",3187,"Korea Republic","Tottenham","Both",29,78,184,0.36,0.36,0.14,0.36,9,0.09,0.04,0.09,0.4,0.89,0.569230769230769,0.34,0.89,0.85,31.25,0.31,0.18,0.31,1.64,0.29,0.137380191693291,0.86
"W. Zaha","LM",2964,"Cote d'Ivoire","Crystal Palace","Right",29,66,180,0.37,0.37,0.21,0.37,30,0.3,0.71,0.3,0.3,0.86,0.415384615384615,0.21,0.5,0.525,37.8048780487805,0.38,0.39,0.38,1.55,0.14,0.108626198083067,0.86
"Jarrod Bowen","RM",3198,"-","West Ham","Left",25,70,182,0.35,0.35,0.1,0.35,26,0.26,0.52,0.26,0.37,0.95,0.545454545454545,0.23,0.67,0.479166666666667,33.5365853658537,0.34,0.19,0.34,2.31,0.48,0.311787072243346,0.86
"Gabriel Martinelli","LM",1987,"Brazil","Arsenal","Right",20,75,176,0.38,0.38,0.29,0.38,20,0.2,0.32,0.2,0.24,0.71,0.323076923076923,0.27,0.86,0.675,41.2280701754386,0.41,0.57,0.41,3.08,0.68,0.597444089456869,0.86
"Demarai Gray","LM",2490,"-","Everton","Right",25,74,183,0.43,0.43,0.68,0.43,24,0.24,0.54,0.24,0.19,0.54,0.246153846153846,0.25,0.79,0.625,40.5660377358491,0.41,0.57,0.41,2.1,0.46,0.284345047923323,0.86
"Dejan Kulusevski","RM",1343,"Sweden","Tottenham","Left",22,80,186,0.38,0.38,0.24,0.38,33,0.33,0.76,0.33,0.16,0.38,0.227272727272727,0.27,0.76,0.5625,26.25,0.26,0,0.26,2.08,0.29,0.268060836501901,0.85
"A. Iwobi","RM",2191,"Nigeria","Everton","Right",26,75,183,0.46,0.46,0.71,0.46,33,0.33,0.76,0.33,0.09,0.19,0.121212121212121,0.16,0.52,0.333333333333333,49.6644295302013,0.5,0.76,0.5,3.61,0.76,0.55893536121673,0.85
"Nathan Redmond","LM",1989,"-","Southampton","Right",28,69,173,0.4,0.4,0.46,0.4,32,0.32,0.86,0.32,0.1,0.14,0.107692307692308,0.23,0.64,0.575,34.6534653465347,0.35,0.29,0.35,2.76,0.57,0.495207667731629,0.85
"Connor Roberts","RM",1805,"Wales","Burnley","Right",26,71,175,0.6,0.6,0.95,0.6,29,0.29,0.67,0.29,0.01,0,0,0.05,0.1,0.104166666666667,61.6666666666667,0.62,0.95,0.62,5.93,1,1,0.85
"Adama Traore","RM",1177,"Spain","Barcelona","Right",26,86,176,0.53,0.53,0.86,0.53,31,0.31,0.71,0.31,0.17,0.43,0.242424242424242,0.15,0.48,0.3125,36,0.36,0.29,0.36,0.99,0.1,0.0608365019011407,0.84
"J. Hernández","LM",1246,"-","Watford","Right",23,73,176,0.39,0.39,0.36,0.39,22,0.22,0.46,0.22,0.17,0.46,0.215384615384615,0.22,0.57,0.55,31.5068493150685,0.32,0.21,0.32,2.53,0.54,0.421725239616613,0.82
"S. Benrahma","LM",2292,"Algeria","West Ham","Right",26,67,172,0.4,0.4,0.46,0.4,30,0.3,0.71,0.3,0.21,0.61,0.276923076923077,0.12,0.32,0.3,39.0909090909091,0.39,0.46,0.39,1.85,0.43,0.204472843450479,0.81
"Rayan Ait-Nouri","LM",2006,"-","Wolverhampton","Left",20,70,179,0.57,0.57,1,0.57,17,0.17,0.21,0.17,0.03,0,0,0.09,0.29,0.225,64,0.64,1,0.64,3.59,0.89,0.76038338658147,0.81
"Emiliano Buendia","RM",2066,"-","Aston Villa","Right",25,72,172,0.43,0.43,0.43,0.43,20,0.2,0.24,0.2,0.17,0.43,0.242424242424242,0.22,0.62,0.458333333333333,39.4904458598726,0.39,0.38,0.39,2.13,0.33,0.277566539923954,0.81
"Sergi Canos","LM",2225,"-","Brentford","Right",25,75,177,0.44,0.44,0.75,0.44,28,0.28,0.64,0.28,0.12,0.21,0.138461538461538,0.08,0.21,0.2,47.979797979798,0.48,0.82,0.48,3.68,0.96,0.789137380191693,0.81
"Tariq Lamptey","RM",1690,"England U21","Brighton","Right",21,0,163,0.46,0.46,0.71,0.46,27,0.27,0.57,0.27,0.05,0.1,0.0606060606060606,0.11,0.33,0.229166666666667,56.0975609756098,0.56,0.86,0.56,3.78,0.81,0.591254752851711,0.8
"Anthony Gordon","LM",2461,"England U21","Everton","Right",21,0,182,0.44,0.44,0.75,0.44,25,0.25,0.61,0.25,0.16,0.32,0.2,0.07,0.14,0.175,43.4782608695652,0.43,0.75,0.43,3.18,0.75,0.629392971246006,0.8
"Jonny","LM",1120,"-","Wolverhampton","Both",28,70,175,0.48,0.48,0.96,0.48,33,0.33,0.89,0.33,0.08,0.07,0.0769230769230769,0,0,0,52.3255813953488,0.52,0.93,0.52,3.38,0.82,0.693290734824281,0.79
"M. Elyounoussi","LM",2203,"Norway","Southampton","Right",27,70,178,0.41,0.41,0.61,0.41,17,0.17,0.21,0.17,0.23,0.68,0.307692307692308,0.08,0.21,0.2,41.4012738853503,0.41,0.57,0.41,3.64,0.93,0.776357827476038,0.79
"A. Elanga","LM",1300,"Sweden","Man United","Right",20,0,178,0.39,0.39,0.36,0.39,22,0.22,0.46,0.22,0.16,0.32,0.2,0.14,0.39,0.35,42.4242424242424,0.42,0.68,0.42,3.05,0.64,0.587859424920128,0.79
"Jacob Murphy","RM",1640,"-","Newcastle Utd.","Right",27,74,173,0.45,0.45,0.62,0.45,18,0.18,0.14,0.18,0.13,0.29,0.181818181818182,0.11,0.33,0.229166666666667,45.5172413793103,0.46,0.67,0.46,4.88,0.95,0.800380228136882,0.79
"M. Rasmussen","RM",1348,"Denmark U21","Brentford","Right",22,0,184,0.44,0.44,0.52,0.44,39,0.39,1,0.39,0.05,0.1,0.0606060606060606,0,0,0,50,0.5,0.76,0.5,3.87,0.86,0.608365019011407,0.79
"Solomon March","LM",1897,"-","Brighton","Left",27,77,180,0.47,0.47,0.89,0.47,16,0.16,0.18,0.16,0.06,0.04,0.0461538461538461,0.14,0.39,0.35,52.4271844660194,0.52,0.93,0.52,3.23,0.79,0.645367412140575,0.78
"Mason Greenwood","RM",1344,"England","Man United","Left",20,70,181,0.43,0.43,0.43,0.43,20,0.2,0.24,0.2,0.31,0.71,0.454545454545455,0.07,0.14,0.145833333333333,35.8490566037736,0.36,0.29,0.36,0.67,0,0,0.77
"Harvey Lewis Barnes","LM",2253,"England","Leicester","Right",24,66,182,0.35,0.35,0.04,0.35,18,0.18,0.29,0.18,0.28,0.82,0.384615384615385,0.12,0.32,0.3,35.9649122807018,0.36,0.32,0.36,1.68,0.32,0.150159744408946,0.76
"Nelsinho","RM",2318,"Portugal","Wolverhampton Wanderers U23","Right",28,67,177,0.54,0.54,0.9,0.54,7,0.07,0,0.07,0.04,0.05,0.0454545454545454,0.08,0.24,0.166666666666667,61.3756613756614,0.61,0.9,0.61,4.39,0.9,0.70722433460076,0.75
"Allan Saint-Maximin","LM",3038,"-","Newcastle Utd.","Right",25,67,173,0.45,0.45,0.86,0.45,14,0.14,0.11,0.14,0.16,0.32,0.2,0.15,0.46,0.375,26.8041237113402,0.27,0,0.27,1.21,0,0,0.74
"Trincao","RM",1466,"-","Wolverhampton","Left",22,77,183,0.42,0.42,0.38,0.42,22,0.22,0.43,0.22,0.21,0.67,0.303030303030303,0,0,0,42.3913043478261,0.42,0.48,0.42,2.21,0.43,0.29277566539924,0.74
"Ismaila Sarr","RM",1990,"Senegal","Watford","Right",24,76,185,0.35,0.35,0.1,0.35,17,0.17,0.1,0.17,0.19,0.52,0.272727272727273,0.14,0.43,0.291666666666667,34.5238095238095,0.35,0.24,0.35,2.17,0.38,0.285171102661597,0.74
"Bryan Mbeumo","RM",3121,"France U21","Brentford","Left",22,0,171,0.3,0.3,0,0.3,18,0.18,0.14,0.18,0.32,0.86,0.46969696969697,0.09,0.29,0.1875,27.6729559748428,0.28,0.05,0.28,1.82,0.19,0.218631178707224,0.73
"Jack Harrison","LM",2848,"-","Leeds United","Left",25,70,175,0.38,0.38,0.29,0.38,15,0.15,0.14,0.15,0.15,0.29,0.184615384615385,0.06,0.07,0.15,42.3645320197044,0.42,0.68,0.42,3.16,0.71,0.623003194888179,0.72
"Yoane Wissa","LM",1415,"Congo DR","Brentford","Right",25,74,176,0.43,0.43,0.68,0.43,8,0.08,0,0.08,0.19,0.54,0.246153846153846,0.06,0.07,0.15,42.6229508196721,0.43,0.75,0.43,1.72,0.36,0.162939297124601,0.7
"Milot Rashica","LM",2366,"Kosovo","Norwich","Right",25,73,177,0.4,0.4,0.46,0.4,20,0.2,0.32,0.2,0.11,0.18,0.123076923076923,0,0,0,48.4615384615385,0.48,0.82,0.48,2.28,0.5,0.34185303514377,0.69
"Daniel Owen James","RM",2687,"Wales","Leeds United","Right",24,76,171,0.36,0.36,0.19,0.36,9,0.09,0.05,0.09,0.2,0.57,0.287878787878788,0.07,0.14,0.145833333333333,42.4242424242424,0.42,0.48,0.42,1.64,0.14,0.184410646387833,0.68
"Marcus Rashford","LM",1330,"England","Man United","Right",24,70,185,0.32,0.32,0,0.32,11,0.11,0.07,0.11,0.16,0.32,0.2,0.07,0.14,0.175,26.865671641791,0.27,0,0.27,1.62,0.25,0.130990415335463,0.64
