"player_name","position","minutes_played","national_team","team","foot","age","weight","height","air_challenges_won_percent_p90","defensive_challenges_won_percent_p90","accurate_passes_percent_p90","key_passes_accurate_p90","fouls_p90","air_challenges_won_percent_p90_percentil","defensive_challenges_won_percent_p90_percentil","accurate_passes_percent_p90_percentil","key_passes_accurate_p90_percentil","fouls_p90_percentil","score"
"John Stones","CD",1200,"England","Man City","Right",27,70,188,0.8,0.83,0.93,0,0.22,1,1,0.88,0,1,0.518
"Harry Maguire","CD",2714,"England","Man United","Right",29,100,194,0.78,0.74,0.89,0.07,0.7,0.98,0.9,0.6,0.55,0.5,0.484
"Antonio Rudiger","CD",3271,"Germany","Chelsea","Right",29,85,190,0.74,0.72,0.91,0.22,0.96,0.88,0.75,0.75,0.9,0.25,0.432
"Raphael Varane","CD",1977,"France","Man United","Right",29,81,191,0.74,0.71,0.91,0.14,0.23,0.88,0.62,0.75,0.8,0.97,0.426
"Adam Webster","CD",1546,"-","Brighton","Right",27,75,190,0.77,0.71,0.85,0,0.99,0.95,0.62,0.32,0,0.12,0.426
"Ethan Rupert Pinnock","CD",2912,"Jamaica","Brentford","Left",28,79,194,0.7,0.75,0.79,0.22,0.28,0.72,0.95,0.1,0.9,0.95,0.425
"Jamaal Lascelles","CD",2240,"-","Newcastle Utd.","Right",28,89,188,0.74,0.72,0.8,0.08,0.72,0.88,0.75,0.12,0.58,0.45,0.42
"Gabriel Magalhaes","CD",3308,"Brazil","Arsenal","Left",24,78,190,0.7,0.75,0.91,0.03,0.6,0.72,0.95,0.75,0.28,0.6,0.416
"Victor Lindelof","CD",2539,"Sweden","Man United","Right",27,80,187,0.71,0.73,0.9,0.11,0.67,0.8,0.8,0.65,0.72,0.52,0.414
"Mason Holgate","CD",2318,"-","Everton","Right",25,70,187,0.73,0.68,0.75,0,1.01,0.85,0.42,0,0,0.05,0.364
"M. Guehi","CD",3475,"England","Crystal Palace","Right",21,82,182,0.68,0.73,0.9,0.08,0.34,0.6,0.8,0.65,0.58,0.93,0.361
"S. Karim","CD",3221,"Ghana","Southampton","Left",23,82,191,0.71,0.69,0.83,0.06,0.98,0.8,0.5,0.2,0.4,0.18,0.357
"N. Collins","CD",1805,"Republic of Ireland","Burnley","Right",21,0,193,0.69,0.71,0.76,0.25,1,0.7,0.62,0.03,0.95,0.08,0.353
"Aymeric Laporte","CD",3026,"Spain","Man City","Left",28,86,189,0.65,0.74,0.96,0.09,0.42,0.35,0.9,1,0.65,0.83,0.335
"James Alan Tarkowski","CD",3320,"England","Burnley","Right",29,81,185,0.67,0.73,0.77,0.16,0.79,0.52,0.8,0.07,0.85,0.32,0.333
"Jan Kacper Bednarek","CD",2840,"Poland","Southampton","Right",26,77,189,0.7,0.67,0.86,0.06,0.95,0.72,0.3,0.42,0.4,0.28,0.31
"Maximilian Kilman","CD",2944,"-","Wolverhampton","Left",25,0,195,0.68,0.7,0.88,0.06,0.55,0.6,0.58,0.48,0.4,0.68,0.309
"Tyrone Mings","CD",3492,"England","Aston Villa","Left",29,77,196,0.68,0.7,0.84,0.08,0.72,0.6,0.58,0.25,0.58,0.45,0.304
"Kurt Happy Zouma","CD",2245,"-","West Ham","Right",27,96,190,0.67,0.71,0.9,0,0.36,0.52,0.62,0.65,0,0.88,0.303
"Trevoh Chalobah","CD",1560,"-","Chelsea","Right",22,0,190,0.68,0.67,0.93,0.12,0.98,0.6,0.3,0.88,0.78,0.18,0.284
"Ben Gibson","CD",2683,"-","Norwich","Left",29,78,185,0.63,0.73,0.85,0,0.37,0.25,0.8,0.32,0,0.85,0.277
"Samir","CD",1780,"Brazil","Watford","Left",27,73,188,0.66,0.69,0.84,0,0.86,0.5,0.5,0.25,0,0.3,0.254
"Davinson Sanchez","CD",1777,"Colombia","Tottenham","Right",25,81,187,0.67,0.66,0.91,0.1,0.71,0.52,0.25,0.75,0.68,0.48,0.251
"C. Romero","CD",1984,"-","Tottenham","Right",24,79,185,0.65,0.71,0.88,0.05,1.22,0.35,0.62,0.48,0.38,0,0.245
"Eric Dier","CD",3303,"England","Tottenham","Right",28,63,188,0.64,0.69,0.9,0.16,0.35,0.32,0.5,0.65,0.85,0.9,0.243
"A. Christensen","CD",1620,"Denmark","Chelsea","Right",26,82,187,0.65,0.68,0.93,0.06,0.61,0.35,0.42,0.88,0.4,0.58,0.223
"Joachim Andersen","CD",3143,"Denmark","Crystal Palace","Right",25,90,192,0.65,0.67,0.85,0.11,0.52,0.35,0.3,0.32,0.72,0.7,0.196
"K. Ajer","CD",2148,"Norway","Brentford","Right",24,92,198,0.61,0.68,0.76,0.25,0.42,0.15,0.42,0.03,0.95,0.83,0.192
"Ruben Dias","CD",2586,"Portugal","Man City","Right",25,76,186,0.62,0.67,0.95,0.28,0.97,0.2,0.3,0.98,1,0.2,0.187
"Michael Keane","CD",3020,"England","Everton","Right",29,82,188,0.65,0.66,0.83,0.06,0.45,0.35,0.25,0.2,0.4,0.78,0.181
"Benjamin White","CD",3123,"England","Arsenal","Both",24,78,186,0.63,0.65,0.87,0.14,0.55,0.25,0.17,0.45,0.8,0.68,0.162
"B. Davies","CD",2737,"Wales","Tottenham","Left",29,76,181,0.65,0.63,0.88,0.03,0.99,0.35,0.15,0.48,0.28,0.12,0.157
"Caglar Soyuncu","CD",2689,"Turkey","Leicester","Right",26,82,187,0.63,0.67,0.88,0,0.77,0.25,0.3,0.48,0,0.4,0.149
"Daniel Amartey","CD",2289,"Ghana","Leicester","Right",27,79,186,0.57,0.61,0.93,0,0.51,0.07,0.07,0.88,0,0.72,0.12
"Ezri Konsa Ngoyo","CD",2690,"-","Aston Villa","Right",24,77,183,0.61,0.65,0.89,0,0.57,0.15,0.17,0.6,0,0.62,0.115
"Conor Coady","CD",3678,"England","Wolverhampton","Right",29,75,185,0.54,0.58,0.91,0,0.49,0.03,0.03,0.75,0,0.75,0.114
"W. Troost-Ekong","CD",1517,"Nigeria","Watford","Right",28,82,191,0.62,0.65,0.84,0.06,0.77,0.2,0.17,0.25,0.4,0.4,0.114
"Pascal Struijk","CD",2252,"-","Leeds United","Left",22,79,190,0.6,0.62,0.88,0,0.96,0.12,0.1,0.48,0,0.25,0.082
"Ben Godfrey","CD",2194,"-","Everton","Right",24,74,184,0.57,0.62,0.81,0.04,0.66,0.07,0.1,0.15,0.32,0.55,0.08
"Robin Koch","CD",1717,"Germany","Leeds United","Right",25,85,191,0.55,0.51,0.82,0.1,1.15,0.05,0,0.17,0.68,0.02,0.075
"Diego Llorente","CD",2523,"Spain","Leeds United","Right",28,75,186,0.53,0.6,0.85,0.04,0.78,0,0.05,0.32,0.32,0.35,0.053
