"player_name","position","minutes_played","national_team","team","foot","age","weight","height","key_passes_accurate_p90","ball_interceptions_p90","expected_assists_p90","defensive_challenges_won_p90","x_g_expected_goals_p90","key_passes_accurate_p90_percentil","ball_interceptions_p90_percentil","expected_assists_p90_percentil","defensive_challenges_won_p90_percentil","x_g_expected_goals_p90_percentil","score"
"Kevin De Bruyne","CM",2360,"Belgium","Man City","Right",30,68,181,1.26,2.44,0.57,1.53,0.23,1,0.21,1,0.15,0.73,0.38
"Hakim Ziyech","CM",1423,"Morocco","Chelsea","Left",29,65,181,1.01,2.53,0.38,2.53,0.25,0.94,0.24,0.94,0.42,0.82,0.367
"Bruno Fernandes","CM",3330,"Portugal","Man United","Right",27,69,179,1.08,2.76,0.24,2.16,0.27,0.97,0.36,0.79,0.3,0.88,0.365
"Mason Mount","CM",2555,"England","Chelsea","Right",23,70,180,0.85,1.73,0.46,2.36,0.32,0.91,0.06,0.97,0.36,0.94,0.362
"Naby Laye Keita","CM",1262,"Guinea","Liverpool","Right",27,64,172,0.5,3.99,0.21,4.64,0.15,0.67,0.79,0.76,0.91,0.45,0.336
"James Maddison","CM",2620,"England","Leicester","Right",25,73,175,0.69,1.48,0.24,1.82,0.24,0.85,0.03,0.79,0.21,0.76,0.326
"Ilkay Gundogan","CM",1989,"Germany","Man City","Right",31,80,180,0.5,2.99,0.36,1.36,0.41,0.67,0.45,0.91,0.06,1,0.321
"Martin Odegaard","CM",2985,"Norway","Arsenal","Left",23,68,178,0.63,1.96,0.3,1.96,0.16,0.79,0.12,0.88,0.24,0.55,0.314
"Bernardo Silva","CM",3063,"Portugal","Man City","Left",27,64,173,0.53,2.53,0.29,2.41,0.21,0.73,0.24,0.85,0.39,0.64,0.306
"Jordan Henderson","CM",2767,"England","Liverpool","Right",31,67,187,0.55,3.42,0.2,2.21,0.07,0.76,0.52,0.73,0.33,0.18,0.298
"Leandro Trossard","CM",3023,"Belgium","Brighton","Right",27,61,171,0.63,2.05,0.12,1.49,0.24,0.79,0.15,0.58,0.12,0.76,0.292
"Thiago Alcantara","CM",1630,"Spain","Liverpool","Right",31,70,174,0.39,4.75,0,5.08,0.13,0.55,0.94,0,0.94,0.39,0.291
"Daniel Podence","CM",1632,"Portugal","Wolverhampton","Right",26,58,165,0.83,1.32,0.11,1.32,0.12,0.88,0,0.52,0.03,0.3,0.281
"John McGinn","CM",3371,"Scotland","Aston Villa","Left",27,68,178,0.48,3.63,0.11,4.41,0.05,0.64,0.55,0.52,0.88,0.09,0.274
"Alexis Mac Allister","CM",2313,"Argentina","Brighton","Right",23,72,176,0.31,3.7,0.16,3.93,0.27,0.33,0.58,0.7,0.76,0.88,0.27
"Jeffrey Schlupp","CM",2007,"Ghana","Crystal Palace","Left",29,72,178,0.36,4.48,0.04,3.86,0.22,0.45,0.85,0.15,0.73,0.7,0.267
"Joelinton","CM",2794,"-","Newcastle Utd.","Right",25,81,186,0.29,4.51,0.1,4.32,0.14,0.3,0.88,0.45,0.82,0.42,0.258
"James McArthur","CM",1545,"Scotland","Crystal Palace","Both",34,64,178,0.23,6.35,0,5.3,0.04,0.21,1,0,0.97,0,0.257
"Manuel Lanzini","CM",1930,"Argentina","West Ham","Right",29,66,167,0.42,3.12,0.14,2.05,0.17,0.58,0.48,0.67,0.27,0.58,0.256
"Juraj Kucka","CM",2062,"Slovakia","Watford","Right",35,84,186,0.13,5.63,0,5.85,0.15,0.09,0.97,0,1,0.45,0.254
"Mathias Jensen","CM",1730,"Denmark","Brentford","Right",26,68,180,0.42,3.85,0.1,2.6,0.11,0.58,0.67,0.45,0.45,0.24,0.246
"Sean Longstaff","CM",1603,"-","Newcastle Utd.","Right",24,65,181,0.17,4.6,0.06,4.21,0.05,0.12,0.91,0.33,0.79,0.09,0.231
"Emile Smith Rowe","CM",2067,"England","Arsenal","Right",21,79,182,0.35,2.35,0.13,1.39,0.26,0.42,0.18,0.64,0.09,0.85,0.229
"Conor Gallagher","CM",3054,"England","Crystal Palace","Right",22,0,182,0.32,3.74,0.09,3.12,0.21,0.36,0.64,0.42,0.52,0.64,0.228
"K. Dewsbury-Hall","CM",2257,"-","Leicester","Left",23,0,178,0.36,4.19,0.04,3.07,0.04,0.45,0.82,0.15,0.48,0,0.226
"M. Klich","CM",2232,"Poland","Leeds United","Right",31,84,183,0.36,2.78,0.12,3.23,0.12,0.45,0.39,0.58,0.58,0.3,0.224
"Christian Pulisic","CM",1411,"United States","Chelsea","Both",23,69,177,0.32,2.68,0.06,1.08,0.36,0.36,0.3,0.33,0,0.97,0.208
"O. Frank","CM",1123,"Nigeria","Brentford","Right",24,0,183,0,3.93,0,4.33,0.1,0,0.73,0,0.85,0.21,0.201
"Pierre Lees-Melou","CM",2423,"-","Norwich","Right",29,67,185,0.26,3.97,0.04,3.6,0.05,0.24,0.76,0.15,0.7,0.09,0.196
"Tom Cleverley","CM",1727,"-","Watford","Right",32,67,175,0.26,3.91,0.05,3.39,0.04,0.24,0.7,0.24,0.64,0,0.192
"Jacob Matthew Ramsey","CM",2669,"England U21","Aston Villa","Right",20,0,180,0.2,3.71,0.07,3.24,0.12,0.18,0.61,0.39,0.61,0.3,0.182
"Joseph Willock","CM",2189,"-","Newcastle Utd.","Right",22,71,186,0.08,2.92,0,3.41,0.15,0.03,0.42,0,0.67,0.45,0.146
"M. Almirón","CM",1845,"Paraguay","Newcastle Utd.","Left",28,63,174,0.1,2.73,0.05,3.22,0.11,0.06,0.33,0.24,0.55,0.24,0.126
"Hee-Chan Hwang","CM",1941,"Korea Republic","Wolverhampton","Right",26,77,177,0.19,1.85,0.05,1.58,0.19,0.15,0.09,0.24,0.18,0.61,0.116
