"player_name","position","minutes_played","national_team","team","foot","age","weight","height","key_passes_accurate_p90","defensive_challenges_won_percent_p90","accurate_crosses_percent_p90","ball_interceptions_p90","expected_assists_p90","key_passes_accurate_p90_percentil","defensive_challenges_won_percent_p90_percentil","accurate_crosses_percent_p90_percentil","ball_interceptions_p90_percentil","expected_assists_p90_percentil","score"
"Bruno","DM",1133,"Brazil","Newcastle Utd.","Right",24,74,182,0.48,0.55,0.67,4.45,0,0.94,0.71,0.97,0.38,0,0.423
"Ruben Loftus-Cheek","DM",1533,"-","Chelsea","Right",26,88,190,0.47,0.63,0.22,3.46,0.35,0.88,1,0.38,0.15,1,0.418
"Mateo Kovacic","DM",1678,"Croatia","Chelsea","Right",28,78,176,0.8,0.51,0.2,2.36,0.21,1,0.44,0.26,0,0.91,0.381
"Paul Pogba","DM",1450,"France","Man United","Both",29,84,191,0.68,0.46,0.17,2.54,0.31,0.97,0.18,0.21,0.03,0.97,0.359
"Oliver Skipp","DM",1447,"England U21","Tottenham","Right",21,70,175,0.25,0.6,0.5,3.61,0.12,0.56,0.88,0.88,0.18,0.82,0.357
"P. Højbjerg","DM",3427,"Denmark","Tottenham","Right",26,84,187,0.47,0.48,0.33,4.99,0.03,0.88,0.29,0.65,0.65,0.21,0.349
"Fred","DM",2159,"Brazil","Man United","Left",29,64,169,0.42,0.4,0.33,5.88,0.04,0.85,0.03,0.65,0.85,0.38,0.342
"Rodrigo Bentancur","DM",1460,"Uruguay","Tottenham","Right",24,72,187,0.37,0.53,0.33,4.25,0.12,0.74,0.59,0.65,0.32,0.82,0.338
"C. Nørgaard","DM",3298,"Denmark","Brentford","Right",28,76,187,0.35,0.49,0.46,6.11,0.11,0.71,0.32,0.85,0.88,0.76,0.335
"James Ward-Prowse","DM",3476,"England","Southampton","Right",27,66,177,0.41,0.39,0.37,5.72,0.21,0.76,0,0.76,0.82,0.91,0.332
