"player_name","position","minutes_played","national_team","team","foot","age","weight","height","accurate_crosses_percent_p90","defensive_challenges_won_percent_p90","challenges_in_attack_won_percent_p90","expected_assists_p90","accurate_crosses_percent_p90_percentil","defensive_challenges_won_percent_p90_percentil","challenges_in_attack_won_percent_p90_percentil","expected_assists_p90_percentil","score"
"Hassane Kamara","LD",1718,"Cote d'Ivoire","Watford","Left",28,67,168,0.35,0.67,0.62,0,0.92,0.96,0.92,0,0.503
"Seamus Coleman","RD",2873,"Republic of Ireland","Everton","Right",33,67,177,0.36,0.64,0.62,0.06,0.91,0.83,0.91,0.48,0.476
"Tyrick Mitchell","LD",3338,"England","Crystal Palace","Left",22,0,175,0.32,0.71,0.47,0.05,0.88,1,0.21,0.29,0.464
"Adam Masina","LD",1169,"Morocco","Watford","Left",28,70,191,0.41,0.56,0.62,0.08,1,0.21,0.92,0.42,0.445
"Cedric Soares","RD",1607,"Portugal","Arsenal","Right",30,67,171,0.36,0.6,0.56,0.06,0.91,0.61,0.7,0.48,0.429
"Olexandr Zinchenko","LD",1122,"Ukraine","Man City","Left",25,64,175,0.28,0.64,0.58,0.4,0.79,0.71,0.67,1,0.416
"Takehiro Tomiyasu","RD",1814,"Japan U24","Arsenal","Right",23,70,188,0.47,0.58,0.46,0,1,0.35,0.13,0,0.413
"Sergio Reguilon","LD",2033,"Spain","Tottenham","Left",25,68,178,0.36,0.57,0.41,0.18,0.96,0.29,0.08,0.79,0.399
"Sam Byram","RD",1131,"-","Norwich","Right",28,72,183,0.33,0.61,0.39,0,0.83,0.65,0.04,0,0.386
"Benjamin Johnson","RD",1523,"England U21","West Ham","Right",22,67,184,0.3,0.66,0.36,0.12,0.65,0.87,0,0.74,0.374
"M. Aarons","RD",3073,"England U21","Norwich","Right",22,69,171,0.35,0.58,0.47,0.03,0.87,0.35,0.17,0.3,0.366
"Kieran Tierney","LD",2050,"Scotland","Arsenal","Left",24,70,180,0.25,0.66,0.47,0.04,0.54,0.92,0.21,0.21,0.359
"Alex Telles","LD",1790,"Brazil","Man United","Left",29,67,181,0.28,0.57,0.57,0.1,0.79,0.29,0.62,0.54,0.357
"Charlie Taylor","LD",2934,"-","Burnley","Left",28,70,183,0.27,0.62,0.58,0.09,0.71,0.58,0.67,0.5,0.356
"Trent Alexander-Arnold","RD",3062,"England","Liverpool","Right",23,69,180,0.32,0.51,0.57,0.73,0.74,0,0.78,1,0.354
"Joеl Ivo Veltman","RD",3099,"Netherlands","Brighton","Right",30,75,184,0.26,0.67,0.55,0.03,0.39,0.96,0.61,0.3,0.354
"Dimitrios Giannoulis","LD",1255,"Greece","Norwich","Left",26,62,178,0.25,0.64,0.59,0,0.54,0.71,0.79,0,0.344
"Diogo Dalot","RD",1955,"Portugal","Man United","Right",23,76,183,0.21,0.68,0.55,0.09,0.22,1,0.61,0.61,0.341
"Andrew Robertson","LD",2718,"Scotland","Liverpool","Left",28,64,178,0.25,0.64,0.5,0.3,0.54,0.71,0.42,0.92,0.327
