"player_name","position","minutes_played","national_team","team","foot","age","weight","height","challenges_won_percent_p90","accurate_crosses_percent_p90","x_g_expected_goals_p90","expected_assists_p90","defensive_challenges_won_percent_p90","ball_interceptions_p90","challenges_won_percent_p90_percentil","accurate_crosses_percent_p90_percentil","x_g_expected_goals_p90_percentil","expected_assists_p90_percentil","defensive_challenges_won_percent_p90_percentil","ball_interceptions_p90_percentil","score"
"Jonny","LM",1120,"-","Wolverhampton","Both",28,70,175,0.48,0.33,0.08,0,0.52,3.38,0.96,0.89,0.07,0,0.93,0.82,0.401
"Lucas Moura","RM",1905,"Brazil","Tottenham","Right",29,72,172,0.48,0.34,0.2,0.19,0.33,2.83,0.81,0.9,0.57,0.57,0.14,0.57,0.384
"Raheem Sterling","LM",2274,"England","Man City","Right",27,71,170,0.41,0.38,0.55,0.24,0.38,1.31,0.61,0.96,0.96,0.68,0.39,0.04,0.383
"Dwight McNeil","LM",3315,"England U21","Burnley","Left",22,0,183,0.47,0.31,0.08,0.22,0.48,4.34,0.89,0.79,0.07,0.57,0.82,1,0.378
"Reece James","RM",2006,"England","Chelsea","Right",22,82,182,0.62,0.23,0.1,0.45,0.64,2.92,1,0.48,0.24,0.95,1,0.62,0.366
"Bukayo Saka","RM",3179,"England","Arsenal","Left",20,65,178,0.41,0.36,0.31,0.48,0.42,1.98,0.33,0.95,0.71,1,0.48,0.24,0.351
"Connor Roberts","RM",1805,"Wales","Burnley","Right",26,71,175,0.6,0.29,0.01,0.05,0.62,5.93,0.95,0.67,0,0.1,0.95,1,0.351
"Adama Traore","RM",1177,"Spain","Barcelona","Right",26,86,176,0.53,0.31,0.17,0.15,0.36,0.99,0.86,0.71,0.43,0.48,0.29,0.1,0.347
"M. Rasmussen","RM",1348,"Denmark U21","Brentford","Right",22,0,184,0.44,0.39,0.05,0,0.5,3.87,0.52,1,0.1,0,0.76,0.86,0.345
"Ryan Fraser","LM",1577,"Scotland","Newcastle Utd.","Right",28,70,163,0.36,0.42,0.21,0.34,0.36,1.6,0.14,1,0.61,0.89,0.32,0.18,0.342
