goals;yellowCards;redCards;groundDuelsWon;groundDuelsWonPercentage;aerialDuelsWon;aerialDuelsWonPercentage;successfulDribbles;successfulDribblesPercentage;tackles;assists;accuratePassesPercentage;totalDuelsWon;totalDuelsWonPercentage;minutesPlayed;wasFouled;fouls;dispossessed;appearances;saves;savedShotsFromInsideTheBox;savedShotsFromOutsideTheBox;goalsConcededInsideTheBox;goalsConcededOutsideTheBox;highClaims;successfulRunsOut;punches;runsOut;accurateFinalThirdPasses;bigChancesCreated;accuratePasses;keyPasses;accurateCrosses;accurateCrossesPercentage;accurateLongBalls;accurateLongBallsPercentage;interceptions;clearances;dribbledPast;bigChancesMissed;totalShots;shotsOnTarget;blockedShots;goalConversionPercentage;hitWoodwork;offsides;expectedGoals;errorLeadToGoal;errorLeadToShot;passToAssist;rating;minutesplayed;player;team
4;6;0;55;57.89;15;57.69;12;63.16;37;0;78.51;70;57.85;1145;6;19;7;16;0;0;0;11;1;0;0;0;0;78;0;347;6;6;33.33;27;56.25;13;36;7;1;24;8;11;16.67;0;1;0.0;0;0;0;7.25;1145;Felipe Loyola;Huachipato
0;0;0;1;50.0;3;60.0;0;0.0;1;0;93.88;4;57.14;90;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;46;1;0;0.0;3;75.0;1;4;0;0;0;0;0;0.0;0;0;0.0;0;0;0;7.2;90;Emiliano Amor;Colo Colo
0;1;0;5;83.33;1;25.0;0;0.0;5;0;85.11;6;60.0;99;0;1;0;2;0;0;0;0;0;0;0;0;0;13;0;40;3;3;50.0;2;66.67;0;0;0;0;4;0;1;0.0;0;0;;0;0;0;7.15;99;Iván Contreras;Cobresal
0;3;0;28;63.64;13;54.17;1;100.0;25;0;84.96;41;60.29;1175;2;6;0;15;0;0;0;10;0;0;0;0;0;42;0;452;3;0;0.0;58;59.79;18;33;10;0;3;1;0;0.0;0;1;0.0;0;0;0;7.09;1175;Sebastián Silva;Cobresal
1;0;0;32;60.38;4;44.44;6;75.0;22;1;77.48;36;58.06;510;4;7;2;6;0;0;0;7;0;0;0;0;0;55;2;172;5;4;30.77;14;58.33;4;10;10;0;4;2;0;25.0;0;1;0.0;0;0;0;7.08;510;Stefano Magnasco;Unión Española
1;3;1;29;54.72;6;40.0;7;63.64;19;3;75.2;35;51.47;813;3;9;4;10;0;0;0;10;1;0;0;0;0;134;0;370;18;6;26.09;37;51.39;6;17;7;0;5;2;0;20.0;0;2;;0;0;1;7.08;813;Mauricio Isla;Universidad Católica
0;1;0;56;69.14;12;57.14;14;70.0;37;1;64.71;68;66.67;701;5;4;10;8;0;0;0;7;1;0;0;0;0;39;0;165;6;2;25.0;17;32.69;10;15;5;0;5;1;1;0.0;0;0;;0;0;0;7.05;701;José Ignacio Castro;Universidad de Chile
0;6;0;75;65.79;24;52.17;6;50.0;48;7;67.56;99;61.88;2519;21;15;7;28;0;0;0;33;4;0;0;0;0;213;4;652;50;38;26.57;113;44.31;37;53;12;0;13;1;6;0.0;1;0;0.0;0;0;0;7.04;2519;Juan Cornejo;Coquimbo Unido
0;3;0;87;66.41;14;48.28;26;78.79;55;2;76.57;101;63.13;2010;6;11;13;25;0;0;0;26;3;0;0;0;0;213;1;876;26;23;26.74;89;49.17;22;45;14;0;10;2;3;0.0;1;1;;0;0;0;6.98;2010;Simón Ramírez;Unión Española
1;4;0;64;57.66;62;76.54;3;60.0;47;0;83.07;126;65.63;2189;14;21;5;28;0;0;0;23;2;0;0;0;0;41;0;883;1;1;33.33;81;52.26;55;134;23;3;15;2;0;6.67;0;1;0.0;0;0;0;6.98;2189;Benjamín Gazzolo;Huachipato
