goals;yellowCards;redCards;groundDuelsWon;groundDuelsWonPercentage;aerialDuelsWon;aerialDuelsWonPercentage;successfulDribbles;successfulDribblesPercentage;tackles;assists;accuratePassesPercentage;totalDuelsWon;totalDuelsWonPercentage;minutesPlayed;wasFouled;fouls;dispossessed;appearances;saves;savedShotsFromInsideTheBox;savedShotsFromOutsideTheBox;goalsConcededInsideTheBox;goalsConcededOutsideTheBox;highClaims;successfulRunsOut;punches;runsOut;accurateFinalThirdPasses;bigChancesCreated;accuratePasses;keyPasses;accurateCrosses;accurateCrossesPercentage;accurateLongBalls;accurateLongBallsPercentage;interceptions;clearances;dribbledPast;bigChancesMissed;totalShots;shotsOnTarget;blockedShots;goalConversionPercentage;hitWoodwork;offsides;expectedGoals;errorLeadToGoal;errorLeadToShot;passToAssist;rating;player;team
0.49;0.21;0.0;2.0;40.43;2.67;51.01;0.84;54.55;0.42;0.28;69.94;4.67;45.86;90;0.74;1.02;1.19;1.05;0;0;0;1.09;0.11;0;0;0;0;7.91;0.28;19.79;1.58;0.25;24.14;1.76;71.43;0.18;0.77;0.21;0.32;3.37;1.62;0.63;14.58;0.0;0.67;0.0;0;0.0;0;7.29;Leandro Garate;Unión Española
0.62;0.06;0.0;3.14;63.75;0.25;23.53;0.74;66.67;0.43;0.37;68.86;3.39;56.7;90;1.97;0.18;0.92;1.66;0;0;0;1.29;0.12;0;0;0;0;8.63;0.55;18.68;2.28;1.6;36.11;2.1;68.0;0.12;0.06;0.31;0.18;1.97;0.99;0.37;31.25;0.06;0.43;0.0;0;0.0;0;7.23;Gastón Lezcano;Cobresal
0.39;0.17;0.06;4.46;53.33;0.84;45.45;1.9;54.84;0.95;0.17;72.24;5.3;51.91;90;1.62;0.67;1.45;1.28;0;0;0;0.95;0.22;0;0;0;0;14.67;0.17;28.46;2.18;0.95;30.36;1.23;44.0;0.28;0.33;0.33;0.06;3.35;1.0;1.12;11.67;0.17;0.28;0.0;0;0.0;0;7.22;Carlos Palacios;Colo Colo
0.63;0.16;0.0;3.56;40.91;2.33;47.97;1.46;45.68;0.63;0.12;67.07;5.89;43.44;90;1.46;0.71;2.45;1.03;0;0;0;1.11;0.16;0;0;0;0;8.78;0.08;17.56;1.15;0.24;31.58;1.11;50.0;0.2;0.51;0.4;0.4;3.88;1.7;0.63;16.33;0.04;0.59;0.0;0;0.0;0;7.22;Rodrigo Holgado;Coquimbo Unido
0.46;0.19;0.04;2.68;46.98;1.68;47.31;0.65;48.57;0.96;0.27;67.68;4.36;47.11;90;1.07;0.57;1.11;1.07;0;0;0;0.84;0.11;0;0;0;0;5.85;0.23;14.43;1.26;0.23;16.67;0.84;61.11;0.23;0.99;0.69;0.23;2.41;0.92;0.31;19.05;0.11;0.27;0.0;0;0.0;0;7.18;Cris Martínez;Huachipato
0.58;0.25;0.0;4.98;42.25;3.15;46.91;1.83;44.9;0.58;0.08;58.03;8.14;43.95;90;2.66;1.74;2.82;1.16;0;0;0;1.16;0.08;0;0;0;0;8.47;0.17;14.7;1.49;0.08;33.33;1.08;68.42;0.17;0.58;0.17;0.5;4.23;1.99;0.42;13.73;0.17;1.25;;0;0.0;0;7.17;Lucas Passerini;Unión La Calera
0.49;0.54;0.0;3.32;38.86;0.39;36.36;1.61;42.31;0.93;0.15;59.53;3.71;38.58;90;0.78;1.17;1.27;1.27;0;0;0;1.37;0.0;0;0;0;0;7.95;0.34;13.7;1.66;0.88;16.07;1.32;49.09;0.24;0.29;0.63;0.2;5.17;1.9;1.46;9.43;0.05;1.41;0.0;0;0.0;0;7.14;Leandro Fernández;Universidad de Chile
0.66;0.31;0.09;2.42;34.38;1.19;30.68;0.31;19.44;0.66;0.13;74.96;3.61;33.06;90;1.45;1.41;1.67;1.1;0;0;0;1.15;0.22;0;0;0;0;9.96;0.18;21.37;1.59;0.35;38.1;1.28;64.44;0.26;0.4;0.48;0.26;2.69;1.28;0.31;24.59;0.04;1.1;0.0;0;0.0;0;7.12;Patricio Rubio;Ñublense
0.64;0.34;0.0;2.97;49.07;1.73;48.94;0.34;37.5;0.56;0.08;70.66;4.7;49.02;90;2.1;1.46;0.83;1.05;0;0;0;1.35;0.15;0;0;0;0;3.38;0.11;12.85;0.83;0.11;75.0;0.9;53.33;0.15;0.6;0.3;0.41;2.93;1.24;0.34;21.79;0.08;0.41;;0;0.0;0;7.11;Fernando Zampedri;Universidad Católica
0.0;0.0;0.0;9.26;87.5;0.0;0.0;3.97;75.0;5.29;0.0;66.67;9.26;87.5;90;0.0;0.0;0.0;1.32;0;0;0;2.65;0.0;0;0;0;0;3.97;0.0;18.53;0.0;1.32;100.0;0.0;0.0;0.0;0.0;0.0;0.0;2.65;0.0;2.65;0.0;0.0;0.0;;0;0.0;0;7.1;Diego Orellana Riffo;Coquimbo Unido
0.69;0.1;0.0;1.18;30.0;4.02;50.0;0.1;25.0;0.1;0.1;61.07;5.2;43.44;90;0.98;1.28;0.98;1.18;0;0;0;1.08;0.29;0;0;0;0;5.5;0.29;14.62;1.18;0.2;100.0;0.69;50.0;0.0;0.69;0.29;0.29;2.06;1.18;0.29;33.33;0.0;0.29;0.0;0;0.0;0;7.08;Joaquín Larrivey;Deportes Magallanes
0.49;0.39;0.0;2.83;47.54;0.98;30.3;0.59;46.15;0.59;0.1;71.25;3.81;41.49;90;1.66;1.37;1.17;1.37;0;0;0;1.46;0.0;0;0;0;0;6.15;0.1;11.13;1.37;0.29;18.75;0.2;40.0;0.1;0.29;0.0;0.1;3.12;1.37;0.49;15.63;0.29;0.2;0.0;0;0.0;0;7.06;Brian Blando;O'Higgins
0.51;0.13;0.0;1.83;39.81;2.34;42.64;0.42;38.46;0.64;0.17;62.46;4.16;41.35;90;0.76;0.98;0.85;1.19;0;0;0;1.02;0.13;0;0;0;0;6.84;0.17;16.18;1.57;0.04;6.25;0.89;42.0;0.08;1.06;0.38;0.47;3.19;1.36;0.3;16.0;0.13;0.25;;0;0.0;0;7.05;Sebastián Sáez;Everton de Viña del Mar
0.33;0.29;0.0;2.87;39.55;0.98;38.71;1.07;39.39;0.33;0.16;66.73;3.85;39.33;90;1.48;1.02;1.39;1.02;0;0;0;1.02;0.2;0;0;0;0;5.94;0.41;13.81;1.52;0.33;24.24;0.74;42.86;0.12;0.66;0.45;0.25;3.69;0.9;0.86;8.89;0.12;0.61;0.0;0;0.0;0;7.04;Maximiliano Salas;Palestino
1.67;1.67;0.0;6.67;80.0;5.0;100.0;5.0;100.0;0.0;0.0;70.0;11.67;87.5;90;1.67;0.0;1.67;6.67;0;0;0;0.0;0.0;0;0;0;0;10.0;0.0;23.33;5.0;1.67;100.0;3.33;66.67;0.0;0.0;0.0;0.0;5.0;1.67;0.0;33.33;0.0;0.0;0.0;0;0.0;0;7.03;Martín Cárcamo;Everton de Viña del Mar
0.47;0.28;0.0;6.89;48.05;0.28;17.65;4.01;69.35;1.77;0.09;81.16;7.17;45.03;90;1.12;2.24;2.89;1.58;0;0;0;1.3;0.28;0;0;0;0;10.9;0.28;24.88;1.21;0.19;22.22;0.93;55.56;0.47;0.09;0.93;0.28;2.98;1.58;0.65;15.63;0.19;0.09;;0;0.0;0;6.99;Lautaro Pastrán;Everton de Viña del Mar
