goals;yellowCards;redCards;groundDuelsWon;groundDuelsWonPercentage;aerialDuelsWon;aerialDuelsWonPercentage;successfulDribbles;successfulDribblesPercentage;tackles;assists;accuratePassesPercentage;totalDuelsWon;totalDuelsWonPercentage;minutesPlayed;wasFouled;fouls;dispossessed;appearances;saves;savedShotsFromInsideTheBox;savedShotsFromOutsideTheBox;goalsConcededInsideTheBox;goalsConcededOutsideTheBox;highClaims;successfulRunsOut;punches;runsOut;accurateFinalThirdPasses;bigChancesCreated;accuratePasses;keyPasses;accurateCrosses;accurateCrossesPercentage;accurateLongBalls;accurateLongBallsPercentage;interceptions;clearances;dribbledPast;bigChancesMissed;totalShots;shotsOnTarget;blockedShots;goalConversionPercentage;hitWoodwork;offsides;expectedGoals;errorLeadToGoal;errorLeadToShot;passToAssist;rating;player;team
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0;36.84;0.0;0.0;90;0.0;0.0;0.0;1.0;6.0;5.0;1.0;0.0;0.0;2.0;1.0;0.0;1.0;2.0;0;7.0;0.0;0;0;3.0;20.0;0.0;1.0;0.0;0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0;8.4;Claudio González;Everton de Viña del Mar
0.0;0.19;0.0;0.09;66.67;0.05;33.33;0.0;0;0.0;0;53.27;0.14;50.0;90;0.09;0.0;0.0;1.04;3.92;2.36;1.56;0.8;0.24;0.28;0.05;0.47;0.05;0.99;0;13.45;0.0;0;0;5.19;30.73;0.0;1.18;0.05;0;0.0;0.0;0;0;0.0;0.05;0.0;0.0;0.0;0;7.1;Nelson Espinoza;Deportes Copiapó
0.0;0.13;0.04;0.22;62.5;0.22;83.33;0.04;100;0.04;0;58.3;0.45;71.43;90;0.09;0.04;0.0;1.03;3.26;2.1;1.16;0.76;0.13;0.76;0.45;0.36;0.58;1.21;0;13.5;0.0;0;0;6.75;41.37;0.0;0.89;0.09;0;0.0;0.0;0;0;0.0;0.0;;0.04;0.0;0;7.03;Sebastián Pérez;Unión Española
0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0;76.19;0.0;0.0;90;0.0;0.0;0.0;1.61;4.82;4.02;0.8;0.8;0.0;1.61;1.61;0.8;1.61;1.61;0;25.71;0.0;0;0;5.63;41.18;0.0;3.21;0.0;0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0;7.0;Martín Parra;Huachipato
0.0;0.1;0.03;0.38;84.62;0.07;100.0;0.03;50;0.03;0;82.8;0.45;86.67;90;0.31;0.03;0.0;1.01;3.06;1.81;1.22;0.9;0.1;0.84;0.31;0.24;0.31;1.18;0;27.98;0.07;0;0;7.17;56.59;0.03;0.66;0.0;0;0.03;0.03;0;0;0.0;0.0;0.0;0.03;0.07;0;7.0;Gabriel Castellón;Huachipato
0.0;0.21;0.0;0.07;50.0;0.35;100.0;0.0;0;0.0;0;78.27;0.42;85.71;90;0.07;0.07;0.0;1.05;3.69;2.02;1.6;1.19;0.07;0.98;0.21;0.21;0.21;1.67;0;25.86;0.07;0;0;12.06;63.6;0.0;0.7;0.0;0;0.0;0.0;0;0;0.0;0.0;;0.0;0.0;0;6.99;Matías Dituro;Universidad Católica
0.0;0.0;0.0;0.36;66.67;0.18;100.0;0.0;0;0.0;0;62.34;0.54;75.0;90;0.36;0.0;0.0;1.08;5.6;4.16;1.45;2.17;0.18;0.9;0.0;0.18;0.0;1.08;0;17.35;0.0;0;0;6.14;37.36;0.0;0.54;0.18;0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0;6.98;Luis Santelices;Curicó Unido
0.0;0.11;0.0;0.36;100.0;0.21;100.0;0.04;100;0.04;0;58.26;0.57;100.0;90;0.32;0.0;0.0;1.0;3.29;2.14;1.11;0.96;0.14;0.75;0.18;0.36;0.18;1.39;0;16.0;0.04;0;0;6.32;36.42;0.0;0.68;0.0;0;0.0;0.0;0;0;0.0;0.04;0.0;0.04;0.0;0;6.97;Nicola Pérez;Ñublense
0.0;0.15;0.0;0.35;100.0;0.15;80.0;0.12;100;0.0;0;69.09;0.5;92.86;90;0.27;0.0;0.0;1.0;3.23;2.15;1.08;1.04;0.23;0.58;0.08;0.12;0.08;1.65;0;21.58;0.04;0;0;6.58;41.4;0.0;0.38;0.0;0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0;6.96;Omar Carabalí;Unión La Calera
0.0;0.1;0.0;0.87;81.82;0.39;100.0;0.19;100;0.0;0;65.81;1.25;86.67;90;0.87;0.0;0.0;1.06;3.85;1.64;2.21;1.16;0.29;0.39;0.39;0.96;0.39;1.25;0;17.23;0.0;0;0;5.49;38.78;0.1;1.35;0.19;0;0.0;0.0;0;0;0.0;0.0;;0.1;0.0;0;6.91;Diego Tapia;Deportes Magallanes
