goals;yellowCards;redCards;groundDuelsWon;groundDuelsWonPercentage;aerialDuelsWon;aerialDuelsWonPercentage;successfulDribbles;successfulDribblesPercentage;tackles;assists;accuratePassesPercentage;totalDuelsWon;totalDuelsWonPercentage;minutesPlayed;wasFouled;fouls;dispossessed;appearances;saves;savedShotsFromInsideTheBox;savedShotsFromOutsideTheBox;goalsConcededInsideTheBox;goalsConcededOutsideTheBox;highClaims;successfulRunsOut;punches;runsOut;accurateFinalThirdPasses;bigChancesCreated;accuratePasses;keyPasses;accurateCrosses;accurateCrossesPercentage;accurateLongBalls;accurateLongBallsPercentage;interceptions;clearances;dribbledPast;bigChancesMissed;totalShots;shotsOnTarget;blockedShots;goalConversionPercentage;hitWoodwork;offsides;expectedGoals;errorLeadToGoal;errorLeadToShot;passToAssist;rating;minutesplayed;player;team
8;7;1;83;49.7;34;65.38;20;55.56;39;3;77.86;117;53.42;2006;24;26;26;25;0;0;0;18;3;0;0;0;0;362;5;1122;50;40;25.97;129;63.55;27;30;18;0;38;12;9;21.05;1;0;0.0;1;0;0;7.36;2006;Gonzalo Montes;Huachipato
6;2;0;58;44.62;6;30.0;8;47.06;35;3;69.35;64;42.67;1368;15;13;25;16;0;0;0;13;3;0;0;0;0;157;5;396;36;25;24.75;42;52.5;8;3;25;0;43;16;13;13.95;0;0;;0;0;0;7.31;1368;Matías Marín;O'Higgins
3;5;0;153;61.69;24;58.54;37;66.07;93;3;78.22;177;61.25;2575;23;31;25;30;0;0;0;34;2;0;0;0;0;311;8;1196;40;14;28.0;124;51.45;28;27;22;1;26;8;8;11.54;1;1;0.0;0;0;0;7.24;2575;Álvaro Madrid;Everton de Viña del Mar
1;7;1;56;48.28;2;22.22;27;62.79;14;5;71.17;58;46.4;1736;15;20;19;24;0;0;0;22;7;0;0;0;0;212;10;548;59;36;29.27;107;60.11;4;3;10;1;59;13;14;1.69;1;1;0.0;0;0;0;7.23;1736;Jorge Luna;Deportes Copiapó
3;1;0;80;66.12;35;55.56;15;88.24;45;1;76.86;115;62.5;1575;20;17;14;18;0;0;0;22;3;0;0;0;0;108;1;661;16;11;40.74;68;45.03;33;57;11;2;23;9;10;13.04;0;2;;0;0;0;7.21;1575;Rodrigo Echeverría;Everton de Viña del Mar
3;4;1;68;45.95;3;18.75;10;41.67;28;4;76.71;71;43.29;1615;30;16;35;22;0;0;0;12;1;0;0;0;0;313;11;685;55;32;29.36;53;56.38;9;11;18;1;49;17;16;6.12;0;3;0.0;0;0;0;7.18;1615;Leonardo Gil;Colo Colo
6;5;0;84;48.0;8;50.0;34;60.71;13;6;77.45;92;48.17;1948;37;17;38;27;0;0;0;25;2;0;0;0;0;221;7;546;52;35;35.0;60;54.05;11;3;16;2;51;16;11;11.76;1;1;0.0;0;0;1;7.13;1948;Leonardo Valencia;Cobresal
5;4;0;96;64.0;30;50.0;5;41.67;47;2;85.04;126;60.0;2476;44;30;8;28;0;0;0;33;3;0;0;0;0;196;0;1165;16;1;9.09;103;57.54;37;52;12;0;33;7;4;15.15;0;3;0.0;0;0;0;7.13;2476;Alejandro Camargo;Cobresal
2;9;0;146;60.83;35;67.31;14;63.64;96;0;80.26;181;61.99;2378;37;39;19;27;0;0;0;29;6;0;0;0;0;155;0;813;19;2;66.67;71;62.83;57;43;29;1;17;8;0;11.76;0;3;0.0;0;0;0;7.12;2378;Juan Jose Jaime;Deportes Copiapó
11;4;0;79;44.63;14;37.84;51;52.04;17;3;80.84;93;43.46;1654;11;13;25;21;0;0;0;27;1;0;0;0;0;192;5;502;28;8;25.81;38;69.09;8;5;14;2;51;21;16;21.57;2;2;0.0;1;0;0;7.11;1654;Rodrigo Piñeiro;Unión Española
2;8;0;84;58.33;15;41.67;20;71.43;53;2;71.14;99;55.0;1564;11;26;9;20;0;0;0;18;2;0;0;0;0;148;4;419;31;7;24.14;54;47.37;14;9;17;1;32;7;12;6.25;0;0;;0;0;0;7.11;1564;Federico Mateos;Universidad de Chile
3;5;0;64;46.72;15;50.0;39;52.0;9;9;68.05;79;47.31;1780;16;11;21;26;0;0;0;22;2;0;0;0;0;175;9;475;49;40;25.81;43;48.86;9;7;6;0;31;9;8;9.68;1;6;;0;0;0;7.1;1780;Facundo Castro;O'Higgins
1;4;0;69;50.36;16;47.06;6;33.33;33;3;82.41;85;49.71;2099;30;18;16;27;0;0;0;33;5;0;0;0;0;276;8;1110;42;39;36.45;170;69.67;23;24;22;1;30;8;9;3.33;0;0;0.0;0;0;0;7.09;2099;Tomás Aránguiz;Deportes Magallanes
3;4;0;94;48.45;13;48.15;25;50.0;44;3;75.16;107;48.42;1792;25;24;30;27;0;0;0;23;1;0;0;0;0;213;4;572;41;38;30.89;74;61.16;15;18;21;1;43;16;6;6.98;1;1;0.0;0;0;0;7.08;1792;Matías Sepúlveda;Audax Italiano
13;2;1;88;49.16;14;35.9;36;52.94;15;4;78.22;102;46.79;2388;37;9;42;27;0;0;0;36;3;0;0;0;0;184;3;614;28;10;35.71;34;60.71;10;15;8;4;62;33;9;20.97;2;8;0.0;0;0;0;7.08;2388;Alexander Aravena;Universidad Católica
2;0;0;4;44.44;0;0.0;1;33.33;2;0;86.67;4;40.0;125;1;0;2;3;0;0;0;3;1;0;0;0;0;9;0;13;2;0;0.0;1;100.0;0;0;1;1;3;3;0;66.67;0;0;0.0;0;0;0;7.07;125;Ignacio Fuenzalida;Audax Italiano
